,Open Time,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
60,2019-02-18,3667.62000000,3925.00000000,3655.00000000,3898.60000000,64042.73049200,242898012.76922592,393515,33934.97317100,128779026.65413163
61,2019-02-19,3897.35000000,3994.52000000,3856.00000000,3907.79000000,50207.17266700,197091641.04739993,332281,27008.59756600,106038298.75034281
62,2019-02-20,3907.35000000,3986.98000000,3870.66000000,3969.74000000,36205.14085000,142571564.56112989,250176,19952.70098400,78593009.21716801
63,2019-02-21,3969.74000000,4016.48000000,3901.03000000,3937.31000000,31103.88472800,122714273.87417651,209571,16678.73094500,65816472.08951928
64,2019-02-22,3937.31000000,3988.00000000,3926.65000000,3962.00000000,23943.16375000,94739322.74557025,179588,12932.07849400,51172984.85084170
65,2019-02-23,3962.00000000,4162.02000000,3933.15000000,4117.76000000,33657.94288300,135782959.41827349,231563,17790.39681500,71727695.50468791
66,2019-02-24,4118.00000000,4198.00000000,3712.66000000,3743.56000000,62224.18689000,244146803.51886994,410578,30284.98096300,118938981.43024275
67,2019-02-25,3743.56000000,3872.66000000,3740.00000000,3827.92000000,38102.96624500,145285565.20317070,262716,20414.12531600,77851143.96719552
68,2019-02-26,3828.44000000,3841.51000000,3777.00000000,3809.23000000,28838.74803600,109932596.10609363,213897,14790.21331100,56376982.48230529
69,2019-02-27,3809.31000000,3838.85000000,3677.17000000,3818.07000000,31500.99546600,119564023.12004227,201626,16214.23584600,61560455.27515973
70,2019-02-28,3818.04000000,3888.00000000,3763.87000000,3813.69000000,32561.96104400,124703738.39336836,233849,16907.09230100,64761233.24960861
71,2019-03-01,3814.26000000,3857.00000000,3813.01000000,3823.00000000,23174.57217000,88851336.52111789,179860,12773.95259500,48982541.74343915
72,2019-03-02,3822.17000000,3841.31000000,3772.25000000,3819.93000000,19445.83835500,74175357.77882297,149854,10248.94565500,39098061.94664881
73,2019-03-03,3819.97000000,3835.00000000,3781.32000000,3807.75000000,16718.16541000,63791898.99159701,127681,8854.21887800,33793163.48606208
74,2019-03-04,3807.32000000,3830.00000000,3670.69000000,3715.30000000,34742.84166000,129739738.23815794,218615,18023.02240700,67312533.26381876
75,2019-03-05,3716.10000000,3877.10000000,3703.55000000,3857.73000000,32962.53616200,124945530.76214453,202444,17980.12771200,68134618.18206475
76,2019-03-06,3857.58000000,3907.00000000,3813.09000000,3861.84000000,24775.11883000,95417637.58898660,165101,13139.77457300,50622286.06205380
77,2019-03-07,3861.84000000,3905.40000000,3840.40000000,3873.64000000,26455.25766100,102585458.38333898,180520,13365.94621300,51827450.49331647
78,2019-03-08,3873.63000000,3932.00000000,3800.00000000,3864.89000000,34730.36659200,135000852.01035948,211534,17947.93422800,69791058.74747885
79,2019-03-09,3864.88000000,3971.75000000,3854.75000000,3943.04000000,30979.74765300,121353606.96803356,206869,16447.34655800,64429542.99978998
80,2019-03-10,3943.43000000,3943.43000000,3881.69000000,3916.82000000,23187.56141200,90693949.72150731,167920,12518.49638600,48968093.08714351
81,2019-03-11,3915.99000000,3936.98000000,3830.00000000,3871.61000000,38066.88570500,147721971.09446938,209916,19416.22101400,75329574.17851433
82,2019-03-12,3871.61000000,3905.20000000,3826.06000000,3882.73000000,26921.00862200,104393849.44844826,182885,13827.42106500,53624520.45494350
83,2019-03-13,3882.69000000,3893.56000000,3840.00000000,3866.00000000,24461.00875700,94680049.46033754,186572,12839.14650500,49699859.82552118
84,2019-03-14,3866.00000000,3920.00000000,3810.43000000,3877.12000000,27048.74853000,104673038.77602254,196651,14244.45531900,55141147.28364773
85,2019-03-15,3877.12000000,3939.22000000,3872.20000000,3923.76000000,21740.06149800,84919900.71744472,163866,12025.70553400,46979306.89873034
86,2019-03-16,3924.46000000,4056.98000000,3921.98000000,4005.98000000,28568.37612400,114227606.40681695,216198,15580.63108000,62301622.91259946
87,2019-03-17,4005.98000000,4012.00000000,3950.01000000,3981.14000000,18814.25557700,74893913.05776027,146953,9927.11655900,39524144.17139103
88,2019-03-18,3981.85000000,4037.00000000,3953.33000000,3987.81000000,22454.47801000,89526258.38910637,157876,11964.18976900,47710908.05709871
89,2019-03-19,3987.83000000,4031.00000000,3970.00000000,4015.53000000,19893.74181500,79503748.36263466,147394,10745.63056500,42949860.70592456
90,2019-03-20,4017.48000000,4050.00000000,3980.50000000,4043.04000000,23432.30025500,94019734.23326426,175036,12201.21427900,48961351.11750316
91,2019-03-21,4043.04000000,4069.32000000,3880.01000000,3980.64000000,35997.68211900,144010401.50845117,236100,18704.22183700,74835394.39208286
92,2019-03-22,3980.85000000,4008.00000000,3968.25000000,3986.93000000,20022.60631800,79861943.81089970,153703,10561.69457700,42127893.35065794
93,2019-03-23,3987.89000000,4018.83000000,3978.01000000,4006.01000000,17302.60431800,69169819.86286371,143155,9491.14472800,37945846.04025019
94,2019-03-24,4006.01000000,4006.02000000,3950.00000000,3992.18000000,17179.85064800,68524082.74695625,131087,8617.36592500,34375232.36909545
95,2019-03-25,3991.35000000,3999.30000000,3888.71000000,3936.12000000,33192.89021700,131507366.37512891,227739,17050.63482700,67573128.16531547
96,2019-03-26,3935.47000000,3958.98000000,3894.00000000,3948.55000000,29349.53762700,115330070.99071545,192418,15963.90520500,62738463.89189890
97,2019-03-27,3948.77000000,4048.00000000,3936.15000000,4038.05000000,32364.55585200,129681258.01621350,224309,17964.55060100,71983196.76062553
98,2019-03-28,4039.58000000,4039.70000000,4002.00000000,4027.81000000,20089.29387500,80822230.57984656,157060,10111.82627600,40683986.77430117
99,2019-03-29,4028.22000000,4123.71000000,4024.03000000,4103.25000000,30084.21744400,122585822.58650480,203826,16800.50957200,68459620.27240319
100,2019-03-30,4104.24000000,4140.00000000,4052.00000000,4106.97000000,19509.29260100,79853835.58182401,162463,10322.14877500,42255037.00428935
101,2019-03-31,4106.99000000,4116.12000000,4082.57000000,4103.95000000,13525.08743300,55472147.12701675,124046,6824.65737800,27993469.17112726
102,2019-04-01,4102.44000000,4158.70000000,4067.00000000,4144.56000000,25507.06764100,105388238.14788892,184268,12915.28932000,53371959.95327402
